SECTION,TYPE,CATEGORY,ELEMENT,VALUE,UNIT
Carbon Impact,Embodied Carbon Emissions,Aggregate Asphalt Hardscape,Compacted Aggregate Base,10067,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Aggregate Asphalt Hardscape,Compacted Aggregate Base,3986,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Aggregate Asphalt Hardscape,Compacted Aggregate Base,17801,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Aggregate Asphalt Hardscape,Compacted Aggregate Base,3867,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Aggregate Asphalt Hardscape,Compacted Aggregate Base,3315,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Brick Stone Hardscape,Stone Curb,43544,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Cast-in-Place Concrete Paving,80523,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Welded Wire Mesh (Fabric) Reinforcement,4908,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Cast-in-Place Concrete Paving,165467,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Welded Wire Mesh (Fabric) Reinforcement,6724,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Welded Wire Mesh (Fabric) Reinforcement,1181,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Precast Concrete Unit Pavers,203742,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Welded Wire Mesh (Fabric) Reinforcement,7907,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Cast-in-Place Concrete Subslab,129731,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Precast Concrete Unit Pavers,45625,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Welded Wire Mesh (Fabric) Reinforcement,1181,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Cast-in-Place Concrete Subslab,29051,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Precast Concrete Wall or Panels,9693,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Metal Wood Hardscape,Tree Grates,22645,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Playground Athletic,EPDM Safety Surface,20617,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Playground Athletic,Synthetic Turf,12232,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Site Elements,Stone Boulders,23854,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Soil Amendments,Amended Planting Soil,119343,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Soil Amendments,Organic Mulch,27684,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Soil Amendments,Gravel Mulch,5472,kgCOâ‚‚e
Carbon Impact,Biogenic (Sequestration + Emissions),Lawn,Moderate Management Lawn,43827,kgCOâ‚‚e
Carbon Impact,Biogenic (Sequestration + Emissions),Perennials Perennial Grasses,Perennials / Perennial Grasses,-43318,kgCOâ‚‚e
Carbon Impact,Biogenic (Sequestration + Emissions),Shrubs,Deciduous Small Shrub,-194215,kgCOâ‚‚e
Carbon Impact,Biogenic (Sequestration + Emissions),Shrubs,Deciduous Medium Shrub,-423819,kgCOâ‚‚e
Carbon Impact,Biogenic (Sequestration + Emissions),Shrubs,Deciduous Large Shrub,-196346,kgCOâ‚‚e
Carbon Impact,Biogenic (Sequestration + Emissions),Shrubs,Evergreen Small Shrub,-145340,kgCOâ‚‚e
Carbon Impact,Biogenic (Sequestration + Emissions),Shrubs,Evergreen Medium Shrub,-329689,kgCOâ‚‚e
Carbon Impact,Biogenic (Sequestration + Emissions),Shrubs,Evergreen Large Shrub,-7909,kgCOâ‚‚e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees,Deciduous Large Tree,-185526,kgCOâ‚‚e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees,Deciduous Medium Tree,-27599,kgCOâ‚‚e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees,Deciduous Small Tree,-1930,kgCOâ‚‚e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees,Evergreen Large Tree,-52987,kgCOâ‚‚e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees,Evergreen Medium Tree,-15033,kgCOâ‚‚e
